"Name","MedianAge","MedianAge2000","Population","AnnualPopulationGrowth","GenderInequalityIndex","AdolescentFertilityRate","GrossNationalIncomePerCapita","MeanYearsSchooling","LifeExpectancyAtBirth","GDP","number","continent"
"Tajikistan",20.4,18.5,7.1,1.5,57,25.7,2119,9.8,67.8,14.3,"126","East Asia and the Pacific"
"Viet Nam",28.2,23.8,89.7,1,48,22.7,2970,5.5,75.4,264.6,"127","East Asia and the Pacific"
"Namibia",21.2,19.5,2.4,1.7,86,54.4,5973,6.2,62.6,13.9,"128","Sub-Saharan Africa"
"Nicaragua",22.1,18.9,6,1.4,89,104.9,2551,5.8,74.3,15.1,"129","Latin America and the Caribbean"
"Morocco",26.3,22.6,32.6,1,84,10.8,4384,4.4,72.4,143.5,"130","Arab States"
"Iraq",18.3,18,33.7,3.1,120,85.9,3557,5.6,69.6,112.5,"131","Arab States"
"Cape Verde",22.8,18.5,0.5,0.9,NA,69.2,3609,3.5,74.3,1.8,"132","Sub-Saharan Africa"
"Guatemala",18.9,17.7,15.1,2.5,114,102.4,4235,4.1,71.4,64.2,"133","Latin America and the Caribbean"
"Timor-Leste",16.6,15.3,1.2,2.9,NA,52.3,5446,4.4,62.9,1.6,"134","East Asia and the Pacific"
"Ghana",20.5,19.1,25.5,2.3,121,62.4,1684,7,64.6,41.3,"135","Sub-Saharan Africa"
"Equatorial Guinea",20.3,19.5,0.7,2.7,NA,114.6,21715,5.4,51.4,23.1,"136","Sub-Saharan Africa"
"India",25.1,22.7,1258.4,1.3,132,74.7,3285,4.4,65.8,3976.5,"137","East Asia and the Pacific"
"Cambodia",22.9,18.1,14.5,1.2,96,32.9,2095,5.8,63.6,29.8,"138","East Asia and the Pacific"
"Lao People's Democratic Republic",21.5,18.6,6.4,1.3,100,30.1,2435,4.6,67.8,15.5,"139","East Asia and the Pacific"
"Bhutan",24.6,19.4,0.8,1.5,92,44.9,5246,2.3,67.6,3.8,"140","East Asia and the Pacific"
"Swaziland",19.5,17.2,1.2,1.4,112,67.9,5104,7.1,48.9,5.7,"141","Sub-Saharan Africa"
"Congo",19.6,18.9,4.2,2.2,132,112.6,2934,5.9,57.8,16.1,"142","Sub-Saharan Africa"
